game_id,game_duration,wins,first_blood,first_tower,first_baron,first_dragon,first_inhibitor,dragon_kills,baron_kills,tower_kills,inhibitor_kills,ward_placed,wardkills,kills,death,assist,champion_damage_dealt,total_gold,total_minion_kills,total_level,avg_level,jungle_minion_kills,killing_spree,total_heal,object_damage_dealt
4247263043,1323,0,1,0,0,0,0,0,0,0,0,38,13,15,31,22,56039,37001,440,56,11.2,105,4,31035,5675
4247155821,1317,1,0,0,0,1,0,2,0,4,0,57,18,19,8,31,60243,41072,531,63,12.6,111,3,26397,45303
4243963257,932,0,0,0,0,0,0,0,0,0,0,28,7,5,20,8,24014,22929,306,42,8.4,64,0,6567,5651
4241678498,2098,0,0,0,1,1,0,1,1,2,0,129,39,26,36,45,101607,63447,774,80,16.0,226,3,24718,31019
4241538868,2344,1,1,1,1,1,1,2,2,11,3,114,35,27,40,47,134826,74955,831,83,16.6,252,5,37161,95287
4241394461,1567,1,1,1,0,0,1,2,0,8,1,65,23,26,18,43,59839,52221,576,66,13.2,171,9,40925,51855
4233222221,1686,0,0,1,0,0,0,0,0,2,0,72,26,16,31,30,70270,47107,601,65,13.0,136,5,20503,31788
4233113995,1588,1,1,1,1,0,1,2,1,10,2,79,39,36,20,88,102449,59163,613,71,14.2,157,7,28612,67404
4231100932,1618,1,1,1,1,0,1,3,1,8,1,89,57,26,25,44,77245,57940,704,71,14.2,144,5,29726,66468
4229230455,1126,1,0,1,0,1,0,1,0,4,0,43,20,20,11,34,56652,39014,486,57,11.4,115,5,17630,37483
4229039003,193,0,1,0,0,0,0,0,0,0,0,3,0,1,0,1,2128,4918,38,12,2.4,12,0,649,0
4228952659,1201,1,1,1,0,1,1,2,0,9,2,41,14,25,9,24,45993,47084,536,61,12.2,162,4,21964,57122
4228244819,1262,1,0,0,0,1,1,3,0,7,1,49,16,21,7,38,57342,42933,509,61,12.2,129,4,13040,48691
4227123625,1429,0,1,1,0,0,0,0,0,4,0,75,33,7,19,13,42979,41910,646,60,12.0,180,2,15575,35335
4222795586,1628,1,1,0,1,0,1,3,1,10,1,59,28,35,22,56,95259,59286,678,77,15.4,167,5,33304,74196
4222632382,1692,0,0,0,0,0,0,0,0,3,0,78,30,21,32,35,73488,51403,669,71,14.2,149,4,15986,14767
4219736584,1903,0,0,1,0,1,0,2,0,3,0,75,54,26,37,46,95379,57588,677,76,15.2,194,7,29205,40743
4219647531,1381,1,1,1,1,1,1,2,1,7,2,51,13,33,12,61,81469,50766,494,70,14.0,172,6,26137,62484
4219545724,1313,0,0,1,0,0,0,0,0,3,0,45,13,6,22,9,36087,35880,563,56,11.2,119,1,13059,26348
4219463634,1660,1,0,0,1,1,1,1,1,9,2,66,31,30,13,61,64708,58214,651,74,14.8,209,7,37288,64577
